region,generation_ts,source,generation_mw
south,2025-01-01T11:00:00,hydro,617.9
south,2025-01-01T11:00:00,gas,3244.0
south,2025-01-01T11:00:00,nuclear,0.0
north,2025-01-01T12:00:00,solar,1148.3
north,2025-01-01T12:00:00,wind,124.2
north,2025-01-01T12:00:00,hydro,590.8
north,2025-01-01T12:00:00,gas,2263.1
north,2025-01-01T12:00:00,nuclear,1021.1
centre,2025-01-01T12:00:00,solar,738.3
centre,2025-01-01T12:00:00,wind,665.0
centre,2025-01-01T12:00:00,hydro,615.6
centre,2025-01-01T12:00:00,gas,3091.6
centre,2025-01-01T12:00:00,nuclear,0.0
south,2025-01-01T12:00:00,solar,892.7
south,2025-01-01T12:00:00,wind,35.1
south,2025-01-01T12:00:00,hydro,615.6
south,2025-01-01T12:00:00,gas,3530.4
south,2025-01-01T12:00:00,nuclear,0.0
north,2025-01-01T13:00:00,solar,1057.7
north,2025-01-01T13:00:00,wind,18.7
north,2025-01-01T13:00:00,hydro,586.2
north,2025-01-01T13:00:00,gas,2310.8
north,2025-01-01T13:00:00,nuclear,1010.9
centre,2025-01-01T13:00:00,solar,800.7
centre,2025-01-01T13:00:00,wind,30.8
centre,2025-01-01T13:00:00,hydro,583.6
centre,2025-01-01T13:00:00,gas,3697.8
centre,2025-01-01T13:00:00,nuclear,0.0
south,2025-01-01T13:00:00,solar,843.8
south,2025-01-01T13:00:00,wind,1095.1
south,2025-01-01T13:00:00,hydro,601.0
south,2025-01-01T13:00:00,gas,2544.5
south,2025-01-01T13:00:00,nuclear,0.0
north,2025-01-01T14:00:00,solar,994.2
north,2025-01-01T14:00:00,wind,22.6
north,2025-01-01T14:00:00,hydro,617.0
north,2025-01-01T14:00:00,gas,2143.5
north,2025-01-01T14:00:00,nuclear,987.0
centre,2025-01-01T14:00:00,solar,685.5
centre,2025-01-01T14:00:00,wind,157.9
centre,2025-01-01T14:00:00,hydro,591.3
centre,2025-01-01T14:00:00,gas,3348.4
centre,2025-01-01T14:00:00,nuclear,0.0
south,2025-01-01T14:00:00,solar,766.4
south,2025-01-01T14:00:00,wind,287.7
south,2025-01-01T14:00:00,hydro,614.0
south,2025-01-01T14:00:00,gas,3184.7
south,2025-01-01T14:00:00,nuclear,0.0
north,2025-01-01T15:00:00,solar,799.6
north,2025-01-01T15:00:00,wind,374.2
north,2025-01-01T15:00:00,hydro,613.5
north,2025-01-01T15:00:00,gas,1669.7
north,2025-01-01T15:00:00,nuclear,1003.9
centre,2025-01-01T15:00:00,solar,563.0
centre,2025-01-01T15:00:00,wind,955.7
centre,2025-01-01T15:00:00,hydro,601.3
centre,2025-01-01T15:00:00,gas,2314.3
centre,2025-01-01T15:00:00,nuclear,0.0
south,2025-01-01T15:00:00,solar,626.8
south,2025-01-01T15:00:00,wind,541.9
south,2025-01-01T15:00:00,hydro,588.8
south,2025-01-01T15:00:00,gas,2704.5
south,2025-01-01T15:00:00,nuclear,0.0
north,2025-01-01T16:00:00,solar,564.4
north,2025-01-01T16:00:00,wind,756.8
north,2025-01-01T16:00:00,hydro,603.2
north,2025-01-01T16:00:00,gas,1224.9
north,2025-01-01T16:00:00,nuclear,980.5
centre,2025-01-01T16:00:00,solar,404.9
centre,2025-01-01T16:00:00,wind,45.1
centre,2025-01-01T16:00:00,hydro,616.9
centre,2025-01-01T16:00:00,gas,3162.6
centre,2025-01-01T16:00:00,nuclear,0.0
south,2025-01-01T16:00:00,solar,445.6
south,2025-01-01T16:00:00,wind,14.3
south,2025-01-01T16:00:00,hydro,591.6
south,2025-01-01T16:00:00,gas,3103.7
south,2025-01-01T16:00:00,nuclear,0.0
north,2025-01-01T17:00:00,solar,294.0
north,2025-01-01T17:00:00,wind,34.6
north,2025-01-01T17:00:00,hydro,604.9
north,2025-01-01T17:00:00,gas,2006.8
north,2025-01-01T17:00:00,nuclear,1000.8
centre,2025-01-01T17:00:00,solar,188.8
centre,2025-01-01T17:00:00,wind,326.7
centre,2025-01-01T17:00:00,hydro,605.9
centre,2025-01-01T17:00:00,gas,2825.3
centre,2025-01-01T17:00:00,nuclear,0.0
south,2025-01-01T17:00:00,solar,230.9
south,2025-01-01T17:00:00,wind,689.7
south,2025-01-01T17:00:00,hydro,591.7
south,2025-01-01T17:00:00,gas,2341.7
south,2025-01-01T17:00:00,nuclear,0.0
north,2025-01-01T18:00:00,solar,0.0
north,2025-01-01T18:00:00,wind,453.6
north,2025-01-01T18:00:00,hydro,585.4
north,2025-01-01T18:00:00,gas,1787.1
north,2025-01-01T18:00:00,nuclear,1000.2
centre,2025-01-01T18:00:00,solar,0.0
centre,2025-01-01T18:00:00,wind,112.6
centre,2025-01-01T18:00:00,hydro,596.1
centre,2025-01-01T18:00:00,gas,3160.8
centre,2025-01-01T18:00:00,nuclear,0.0
south,2025-01-01T18:00:00,solar,0.0
south,2025-01-01T18:00:00,wind,118.7
south,2025-01-01T18:00:00,hydro,602.9
south,2025-01-01T18:00:00,gas,3087.5
south,2025-01-01T18:00:00,nuclear,0.0
north,2025-01-01T19:00:00,solar,0.0
north,2025-01-01T19:00:00,wind,36.7
north,2025-01-01T19:00:00,hydro,586.5
north,2025-01-01T19:00:00,gas,2193.4
north,2025-01-01T19:00:00,nuclear,988.0
centre,2025-01-01T19:00:00,solar,0.0
centre,2025-01-01T19:00:00,wind,1.2
centre,2025-01-01T19:00:00,hydro,609.0
centre,2025-01-01T19:00:00,gas,3291.9
centre,2025-01-01T19:00:00,nuclear,0.0
south,2025-01-01T19:00:00,solar,0.0
south,2025-01-01T19:00:00,wind,159.5
south,2025-01-01T19:00:00,hydro,610.2
south,2025-01-01T19:00:00,gas,3145.5
south,2025-01-01T19:00:00,nuclear,0.0
north,2025-01-01T20:00:00,solar,0.0
north,2025-01-01T20:00:00,wind,57.3
north,2025-01-01T20:00:00,hydro,583.8
north,2025-01-01T20:00:00,gas,2472.4
north,2025-01-01T20:00:00,nuclear,1021.2
centre,2025-01-01T20:00:00,solar,0.0
centre,2025-01-01T20:00:00,wind,1594.6
centre,2025-01-01T20:00:00,hydro,594.2
centre,2025-01-01T20:00:00,gas,2002.2
centre,2025-01-01T20:00:00,nuclear,0.0
south,2025-01-01T20:00:00,solar,0.0
south,2025-01-01T20:00:00,wind,280.1
south,2025-01-01T20:00:00,hydro,583.0
south,2025-01-01T20:00:00,gas,3203.8
south,2025-01-01T20:00:00,nuclear,0.0
north,2025-01-01T21:00:00,solar,0.0
north,2025-01-01T21:00:00,wind,182.3
north,2025-01-01T21:00:00,hydro,606.5
north,2025-01-01T21:00:00,gas,2722.4
north,2025-01-01T21:00:00,nuclear,982.3
centre,2025-01-01T21:00:00,solar,0.0
centre,2025-01-01T21:00:00,wind,302.1
centre,2025-01-01T21:00:00,hydro,589.8
centre,2025-01-01T21:00:00,gas,3640.6
centre,2025-01-01T21:00:00,nuclear,0.0
south,2025-01-01T21:00:00,solar,0.0
south,2025-01-01T21:00:00,wind,113.8
south,2025-01-01T21:00:00,hydro,599.5
south,2025-01-01T21:00:00,gas,3823.1
south,2025-01-01T21:00:00,nuclear,0.0
north,2025-01-01T22:00:00,solar,0.0
north,2025-01-01T22:00:00,wind,72.0
north,2025-01-01T22:00:00,hydro,584.6
north,2025-01-01T22:00:00,gas,3189.3
north,2025-01-01T22:00:00,nuclear,1028.6
centre,2025-01-01T22:00:00,solar,0.0
centre,2025-01-01T22:00:00,wind,364.5
centre,2025-01-01T22:00:00,hydro,595.7
centre,2025-01-01T22:00:00,gas,3920.2
centre,2025-01-01T22:00:00,nuclear,0.0
south,2025-01-01T22:00:00,solar,0.0
south,2025-01-01T22:00:00,wind,324.2
south,2025-01-01T22:00:00,hydro,617.6
south,2025-01-01T22:00:00,gas,3755.7
south,2025-01-01T22:00:00,nuclear,0.0
north,2025-01-01T23:00:00,solar,0.0
north,2025-01-01T23:00:00,wind,467.5
north,2025-01-01T23:00:00,hydro,610.0
north,2025-01-01T23:00:00,gas,2994.0
north,2025-01-01T23:00:00,nuclear,1029.6
centre,2025-01-01T23:00:00,solar,0.0
centre,2025-01-01T23:00:00,wind,0.0
centre,2025-01-01T23:00:00,hydro,603.7
centre,2025-01-01T23:00:00,gas,4462.5
centre,2025-01-01T23:00:00,nuclear,0.0
south,2025-01-01T23:00:00,solar,0.0
south,2025-01-01T23:00:00,wind,334.2
south,2025-01-01T23:00:00,hydro,609.8
south,2025-01-01T23:00:00,gas,4216.0
south,2025-01-01T23:00:00,nuclear,0.0
